hidden_layers,activation_function,epochs,learning_rate,batch_size,accuracy
[4],Sigmoid,50,0.0001,16,0.8390243902439024
[4],Sigmoid,50,0.0001,32,0.5121951219512195
[4],Sigmoid,50,0.0001,64,0.5121951219512195
[4],Sigmoid,50,0.0001,128,0.4926829268292683
[4],Sigmoid,50,0.0001,256,0.5365853658536586
[4],Sigmoid,50,0.0001,512,0.4926829268292683
[4],Sigmoid,100,10.0,16,0.4878048780487805
[4],Sigmoid,100,10.0,32,0.8048780487804879
[4],Sigmoid,100,10.0,64,0.8097560975609757
[4],Sigmoid,100,10.0,128,0.8
[4],Sigmoid,100,10.0,256,0.7902439024390244
[4],Sigmoid,100,10.0,512,0.775609756097561
[4],Sigmoid,100,1.0,16,0.8048780487804879
[4],Sigmoid,100,1.0,32,0.8390243902439024
[4],Sigmoid,100,1.0,64,0.8780487804878049
[4],Sigmoid,100,1.0,128,0.7951219512195122
[4],Sigmoid,100,1.0,256,0.9024390243902439
[4],Sigmoid,100,1.0,512,0.9024390243902439
[4],Sigmoid,100,0.1,16,0.9219512195121952
[4],Sigmoid,100,0.1,32,0.9024390243902439
[4],Sigmoid,100,0.1,64,0.9219512195121952
[4],Sigmoid,100,0.1,128,0.9365853658536586
[4],Sigmoid,100,0.1,256,0.9512195121951219
[4],Sigmoid,100,0.1,512,0.9170731707317074
[4],Sigmoid,100,0.01,16,0.926829268292683
[4],Sigmoid,100,0.01,32,0.9170731707317074
[4],Sigmoid,100,0.01,64,0.926829268292683
[4],Sigmoid,100,0.01,128,0.9024390243902439
[4],Sigmoid,100,0.01,256,0.8878048780487805
[4],Sigmoid,100,0.01,512,0.8585365853658536
[4],Sigmoid,100,0.001,16,0.8536585365853658
[4],Sigmoid,100,0.001,32,0.8536585365853658
[4],Sigmoid,100,0.001,64,0.8439024390243902
[4],Sigmoid,100,0.001,128,0.8195121951219512
[4],Sigmoid,100,0.001,256,0.8195121951219512
[4],Sigmoid,100,0.001,512,0.8
[4],Sigmoid,100,0.0001,16,0.8
[4],Sigmoid,100,0.0001,32,0.8097560975609757
[4],Sigmoid,100,0.0001,64,0.7170731707317073
[4],Sigmoid,100,0.0001,128,0.5170731707317073
[4],Sigmoid,100,0.0001,256,0.5658536585365853
[4],Sigmoid,100,0.0001,512,0.4878048780487805
[4],Sigmoid,250,10.0,16,0.751219512195122
[4],Sigmoid,250,10.0,32,0.8048780487804879
[4],Sigmoid,250,10.0,64,0.751219512195122
[4],Sigmoid,250,10.0,128,0.7853658536585366
[4],Sigmoid,250,10.0,256,0.8048780487804879
[4],Sigmoid,250,10.0,512,0.6439024390243903
[4],Sigmoid,250,1.0,16,0.8146341463414634
[4],Sigmoid,250,1.0,32,0.8536585365853658
[4],Sigmoid,250,1.0,64,0.9024390243902439
[4],Sigmoid,250,1.0,128,0.8975609756097561
[4],Sigmoid,250,1.0,256,0.9170731707317074
[4],Sigmoid,250,1.0,512,0.8878048780487805
[4],Sigmoid,250,0.1,16,0.9073170731707317
[4],Sigmoid,250,0.1,32,0.9463414634146341
[4],Sigmoid,250,0.1,64,0.9317073170731708
[4],Sigmoid,250,0.1,128,0.9219512195121952
[4],Sigmoid,250,0.1,256,0.9804878048780488
[4],Sigmoid,250,0.1,512,0.9463414634146341
[4],Sigmoid,250,0.01,16,0.9658536585365853
[4],Sigmoid,250,0.01,32,0.9414634146341463
[4],Sigmoid,250,0.01,64,0.9463414634146341
[4],Sigmoid,250,0.01,128,0.9365853658536586
[4],Sigmoid,250,0.01,256,0.926829268292683
[4],Sigmoid,250,0.01,512,0.8878048780487805
[4],Sigmoid,250,0.001,16,0.8926829268292683
[4],Sigmoid,250,0.001,32,0.8439024390243902
[4],Sigmoid,250,0.001,64,0.8634146341463415
[4],Sigmoid,250,0.001,128,0.8536585365853658
[4],Sigmoid,250,0.001,256,0.8536585365853658
[4],Sigmoid,250,0.001,512,0.8292682926829268
[4],Sigmoid,250,0.0001,16,0.8390243902439024
[4],Sigmoid,250,0.0001,32,0.8195121951219512
[4],Sigmoid,250,0.0001,64,0.8439024390243902
[4],Sigmoid,250,0.0001,128,0.8097560975609757
[4],Sigmoid,250,0.0001,256,0.7268292682926829
[4],Sigmoid,250,0.0001,512,0.7024390243902439
[4],ReLU,1,10.0,16,0.5560975609756098
[4],ReLU,1,10.0,32,0.775609756097561
[4],ReLU,1,10.0,64,0.47804878048780486
[4],ReLU,1,10.0,128,0.5658536585365853
[4],ReLU,1,10.0,256,0.4878048780487805
[4],ReLU,1,10.0,512,0.8
[4],ReLU,1,1.0,16,0.6926829268292682
[4],ReLU,1,1.0,32,0.6146341463414634
[4],ReLU,1,1.0,64,0.7707317073170732
[4],ReLU,1,1.0,128,0.8341463414634146
[4],ReLU,1,1.0,256,0.8585365853658536
[4],ReLU,1,1.0,512,0.4878048780487805
[4],ReLU,1,0.1,16,0.8048780487804879
[4],ReLU,1,0.1,32,0.8390243902439024
[4],ReLU,1,0.1,64,0.8390243902439024
[4],ReLU,1,0.1,128,0.8439024390243902
[4],ReLU,1,0.1,256,0.8097560975609757
[4],ReLU,1,0.1,512,0.8195121951219512
[4],ReLU,1,0.01,16,0.8195121951219512
[4],ReLU,1,0.01,32,0.7658536585365854
[4],ReLU,1,0.01,64,0.7804878048780488
[4],ReLU,1,0.01,128,0.6536585365853659
[4],ReLU,1,0.01,256,0.551219512195122
